id,name,price,quantity,discount
PRD-000036,Vector Compact Dash Cam,1212.39,97,1.10%
PRD-000037,Matrix HD Water Bottle,620.18,442,8.70%
PRD-000038,Aura Ultra Robot Vacuum,1093.94,409,10.30%
PRD-000039,Prism Advanced Fitness Tracker,807.2,71,5.10%
PRD-000040,Lumina Eco Action Camera,1312.47,38,5.30%
PRD-000041,Aura Ultra Ring Light,1255.02,496,1.10%
PRD-000042,Prism Prime Standing Desk,731.54,109,10.40%
PRD-000043,Zenith Prime Blender,9.21,199,3.20%
PRD-000044,Synergy Wireless Water Bottle,1046.7,374,11.90%
PRD-000045,Optima Elite Fitness Tracker,449.27,495,0.70%
PRD-000046,Zenith Core Smart Plug,91.39,299,5.70%
PRD-000047,Hyper Ultra Smart Scale,125.68,95,0.80%
PRD-000048,Pulse Modular Action Camera,609.23,482,10.70%
PRD-000049,Prism Turbo Smart Lock,65.36,41,5.00%
PRD-000050,Summit Portable Ergonomic Chair,1006.56,160,2.90%
PRD-000051,Blaze Elite Graphics Tablet,689.08,475,9.00%
PRD-000052,Pulse Pro Running Shoes,934,288,12.00%
PRD-000053,Pulse Active Ergonomic Chair,761.78,67,11.20%
PRD-000054,Pulse Ultimate Action Camera,558.06,80,5.30%
PRD-000055,Aero Precision Thermal Mug,17.68,418,6.70%
PRD-000056,Aura Ultimate HD Webcam,401.1,455,1.30%
PRD-000057,Echo Portable Microphone Kit,909.61,367,4.10%
PRD-000058,Velocity Stealth E-Reader,381.17,464,10.20%
PRD-000059,Titan Flex Water Bottle,1245.04,22,0.00%
PRD-000060,Nexus Flex Portable Charger,247.39,226,6.60%
PRD-000061,Matrix Active Wireless Headphones,173.13,483,10.60%
PRD-000062,Echo Active Gaming Mouse,1252.87,298,6.60%
PRD-000063,Matrix Elite Gaming Mouse,466.53,460,11.20%
PRD-000064,Vortex Ultimate Air Purifier,319.84,127,8.00%
PRD-000065,Vanguard Vivid Drone,1326.89,208,11.70%
PRD-000066,Echo Compact Laptop Stand,1464.44,415,2.10%
PRD-000067,Horizon Pro Noise Canceling Earbuds,1106.42,170,9.40%
PRD-000068,Horizon Seamless Action Camera,404.6,403,8.40%
PRD-000069,Astra Speed Gaming Mouse,1288.73,113,2.40%
PRD-000070,Synergy HD Graphics Tablet,1231.87,446,2.70%
PRD-000071,Nova Modular Fitness Tracker,601.3,142,10.40%
PRD-000072,Lumina HD Smart Scale,603.11,431,6.40%
PRD-000073,Nova Lite Portable Charger,272.77,492,11.80%
PRD-000074,Vortex Lite Smart Lock,655.23,373,9.40%
PRD-000075,Matrix Precision Smart Scale,178.76,460,6.90%
PRD-000076,Velocity Ultra Water Bottle,8.52,473,9.70%
PRD-000077,Core HD Water Bottle,110.53,340,11.00%
PRD-000078,Summit Modular Bluetooth Speaker,1081.3,153,6.10%
PRD-000079,Horizon Smart Robot Vacuum,1047.62,283,1.50%
PRD-000080,Horizon Modular Blender,1017.9,462,2.10%
PRD-000081,Aero Gaming Drone,1251.58,155,3.40%
PRD-000082,Matrix Seamless Soundbar,912.34,164,5.60%
PRD-000083,Fusion Modular Ergonomic Chair,769.68,406,10.80%
PRD-000084,Hyper Modular USB-C Hub,429.97,339,7.60%
PRD-000085,Cipher Max Action Camera,1011.15,115,9.70%
PRD-000086,Echo Pro Gaming Mouse,371.78,243,7.30%
PRD-000087,Pulse Eco Standing Desk,1329.88,294,2.30%
PRD-000088,Astra Studio Robot Vacuum,370.5,335,8.30%
PRD-000089,Aura Vivid Water Bottle,332.94,411,11.50%
PRD-000090,Synergy Ultra Drone,378.29,434,1.50%
PRD-000091,Nexus Seamless Running Shoes,1003.35,286,7.10%
PRD-000092,Fusion Precision Smart Scale,643.54,464,6.60%
PRD-000093,Hyper Core Dash Cam,678.39,384,3.00%
PRD-000094,Lumina Vivid Thermal Mug,729.98,122,3.30%
PRD-000095,Pulse Extreme Microphone Kit,356.32,171,3.80%
PRD-000096,Titan Elite Power Bank,351.49,355,1.80%
PRD-000097,Orbit Max Standing Desk,614.94,277,5.60%
PRD-000098,Zenith Advanced Standing Desk,587.87,394,7.00%
PRD-000099,Nova Speed VR Headset,574.28,3,11.30%
PRD-000100,Aero Vivid Blender,1281.04,488,10.00%
PRD-000101,Omni Studio Desk Lamp,413.76,248,0.30%
PRD-000102,Cipher Modular Robot Vacuum,1087.92,430,5.60%
PRD-000103,Nexus Precision Ring Light,46.28,201,7.10%
PRD-000104,Nova Max Water Bottle,208.73,236,2.20%
PRD-000105,Velocity Gaming Smart Plug,322.21,167,4.10%
PRD-000106,Astra Portable Standing Desk,382.88,41,5.60%
PRD-000107,Zenith HD Desk Lamp,977.31,399,11.50%
PRD-000108,Vortex Vivid Smartwatch,1424.71,102,10.10%
PRD-000109,Echo Compact HD Webcam,713.49,58,6.80%
PRD-000110,Orbit Eco Portable Charger,1151.74,85,7.30%
PRD-000111,Quantum Vivid Laptop Stand,1447.28,55,6.90%
PRD-000112,Aero Turbo Blender,598.59,366,2.40%
PRD-000113,Prism Lite Graphics Tablet,1276.33,307,9.70%
PRD-000114,Vortex HD Ring Light,645.99,189,0.80%
PRD-000115,Cipher Pro Standing Desk,1234.55,54,5.20%
PRD-000116,Krypton Flex Running Shoes,1062.71,222,2.10%
PRD-000117,Lumina Precision Ring Light,1163.3,238,5.20%
PRD-000118,Lumina Smart Action Camera,1247.1,44,3.30%
PRD-000119,Fusion Compact Running Shoes,857.35,342,4.50%
PRD-000120,Nova Studio Smart Plug,277.66,108,4.30%
PRD-000121,Velocity Smart Wi-Fi Router,1321.19,359,10.60%
PRD-000122,Apex Stealth Fitness Tracker,133.9,368,4.90%
PRD-000123,Prism Extreme Dash Cam,970.97,251,5.40%
PRD-000124,Nova Max Microphone Kit,337.06,354,2.90%
PRD-000125,Krypton Studio Drone,799.19,217,12.00%
PRD-000126,Cipher HD Running Shoes,410.74,128,2.80%
PRD-000127,Core Smart Bluetooth Speaker,1115.85,486,9.10%
PRD-000128,Starlight Advanced Ergonomic Chair,1109.47,141,8.70%
PRD-000129,Sol Lite Fitness Tracker,448.58,184,2.20%
PRD-000130,Apex Extreme Ring Light,195.1,23,11.70%
PRD-000131,Sol Extreme HD Webcam,958.97,385,5.90%
PRD-000132,Apex Turbo Microphone Kit,707.27,225,4.10%
PRD-000133,Zenith Portable Dash Cam,176.44,33,4.80%
PRD-000134,Pulse Turbo Mechanical Keyboard,232.67,415,6.80%
PRD-000135,Aero Max Action Camera,182.96,391,5.00%
PRD-000136,Omni Vivid Thermal Mug,574.27,465,5.30%
PRD-000137,Matrix Wireless VR Headset,933.8,312,11.50%
PRD-000138,Aura Vivid Ergonomic Chair,940.51,135,7.90%
PRD-000139,Hyper Compact Noise Canceling Earbuds,830.67,80,0.00%
PRD-000140,Fusion Extreme Smart Lock,708.04,16,2.80%
PRD-000141,Sol Extreme Running Shoes,112.33,119,11.10%
PRD-000142,Core Ergonomic Bluetooth Speaker,819.57,331,1.80%
PRD-000143,Lumina Intelligent Power Bank,112.68,84,9.50%
PRD-000144,Sol Eco Bluetooth Speaker,706.22,155,8.40%
PRD-000145,Lumina Stealth Ring Light,743.72,41,7.20%
PRD-000146,Matrix Core Smart Plug,907.94,13,1.10%
PRD-000147,Nova Vivid Wi-Fi Router,866.9,390,9.10%
PRD-000148,Vector Stealth Backpack,1374.6,92,12.00%
PRD-000149,Matrix Flex E-Reader,1453.76,240,4.20%
PRD-000150,Cipher Smart External SSD,1287.44,168,4.90%
PRD-000151,Optima Wireless Robot Vacuum,1221.46,281,0.40%
PRD-000152,Titan Smart Portable Charger,488.96,496,9.30%
PRD-000153,Apex Modular Ring Light,696.18,27,2.30%
PRD-000154,Krypton Precision E-Reader,940.35,389,0.60%
PRD-000155,Lumina Active HD Webcam,1391.93,224,10.60%
PRD-000156,Optima Lite Smartwatch,1459.87,311,9.60%
PRD-000157,Hyper Wireless Drone,26.42,208,1.10%
PRD-000158,Quantum Eco Bluetooth Speaker,973.67,78,6.00%
PRD-000159,Sol Stealth Wi-Fi Router,626.73,247,11.80%
PRD-000160,Prism Eco Drone,222.09,97,11.10%
PRD-000161,Nexus Speed 4K Monitor,418.7,404,10.30%
PRD-000162,Cipher Seamless Smart Scale,405.15,1,3.40%
PRD-000163,Aero Intelligent Soundbar,872.4,337,5.90%
PRD-000164,Echo Eco Ring Light,729.6,170,6.60%
PRD-000165,Astra Eco Smart Plug,1305.17,357,2.90%
PRD-000166,Astra Compact Standing Desk,71.2,381,5.70%
PRD-000167,Astra Gaming Power Bank,746.01,18,1.50%
PRD-000168,Cipher Speed External SSD,1312.03,225,1.20%
PRD-000169,Synergy Pro Power Bank,618.5,335,11.60%
PRD-000170,Pulse Studio Portable Charger,511.8,354,4.80%
PRD-000171,Titan Speed Electric Toothbrush,1279.39,439,6.40%
PRD-000172,Summit Flex E-Reader,1309.33,18,7.40%
PRD-000173,Prism Flex Microphone Kit,1496.14,382,1.10%
PRD-000174,Aura Vivid External SSD,668.85,355,3.60%
PRD-000175,Nova Ultra Smart Plug,1195.43,150,4.30%
PRD-000176,Matrix Elite Action Camera,799.55,289,8.20%
PRD-000177,Starlight Prime Noise Canceling Earbuds,123.97,445,4.60%
PRD-000178,Prism Studio Soundbar,219.81,236,7.70%
PRD-000179,Synergy Portable Wireless Headphones,1348.96,238,10.80%
PRD-000180,Hyper Max Backpack,1418.17,300,3.60%
PRD-000181,Matrix Extreme Portable Charger,688.5,154,2.40%
PRD-000182,Astra Speed Dash Cam,165.33,195,6.90%
PRD-000183,Sol Extreme Microphone Kit,38.77,424,7.90%
PRD-000184,Lumina Pro VR Headset,1298.4,398,8.90%
PRD-000185,Zenith Precision E-Reader,1250.25,462,3.40%
PRD-000186,Omni Precision Air Purifier,333.18,97,7.50%
PRD-000187,Nexus Flex External SSD,1355.68,330,0.50%
PRD-000188,Fusion Ultra Soundbar,551.09,67,1.10%
PRD-000189,Sol Smart Standing Desk,268.4,67,9.40%
PRD-000190,Krypton Stealth Smart Scale,1370.74,425,2.00%
PRD-000191,Vector Seamless Microphone Kit,1121.35,173,9.70%
PRD-000192,Synergy Max Power Bank,1132.69,115,10.30%
PRD-000193,Blaze Speed Drone,552.46,404,4.70%
PRD-000194,Velocity Active Bluetooth Speaker,685.44,344,9.00%
PRD-000195,Velocity Turbo Blender,1234.68,481,4.50%
PRD-000196,Omni Studio Smartwatch,931.59,482,6.70%
PRD-000197,Omni Flex 4K Monitor,955.28,237,10.90%
PRD-000198,Aero Flex Standing Desk,180.3,23,11.40%
PRD-000199,Aero Studio Bluetooth Speaker,151.19,454,6.50%
PRD-000200,Astra Eco Coffee Maker,1007.7,380,8.40%
PRD-000201,Horizon Turbo Power Bank,1328.8,335,1.20%
PRD-000202,Optima Precision Standing Desk,1408.94,143,0.40%
PRD-000203,Krypton Advanced Backpack,670.37,120,10.30%
PRD-000204,Aura Modular Coffee Maker,819.42,500,7.70%
PRD-000205,Zenith Gaming Wi-Fi Router,289.56,62,11.40%
PRD-000206,Synergy Max Ergonomic Chair,964.7,305,11.70%
PRD-000207,Zenith Seamless Electric Toothbrush,369.88,64,9.40%
PRD-000208,Orbit Max Drone,315.48,110,9.80%
PRD-000209,Omni Smart Power Bank,1184.22,305,0.00%
PRD-000210,Echo Elite Ring Light,380.47,89,1.30%
PRD-000211,Nova Elite Wireless Headphones,541.2,403,2.90%
PRD-000212,Summit Pro Noise Canceling Earbuds,402.45,64,8.90%
PRD-000213,Quantum Core 4K Monitor,717.5,398,4.30%
PRD-000214,Aura Eco Smart Scale,336.99,314,0.50%
PRD-000215,Aero Eco Smartwatch,96.86,245,10.20%
PRD-000216,Matrix Modular External SSD,738.45,465,5.30%
PRD-000217,Titan Smart Smart Lock,227.6,64,3.30%
PRD-000218,Summit Gaming Smart Lock,798.64,232,6.10%
PRD-000219,Matrix Lite Bluetooth Speaker,1280.06,333,10.50%
PRD-000220,Orbit Ergonomic Backpack,1332.8,211,4.10%
PRD-000221,Synergy Gaming Standing Desk,1096.03,160,5.10%
PRD-000222,Velocity HD Power Bank,1032.1,242,0.80%
PRD-000223,Titan Max Water Bottle,150.26,378,4.50%
PRD-000224,Nexus Active Mechanical Keyboard,882.17,287,6.70%
PRD-000225,Quantum Ergonomic Air Purifier,1311.16,481,9.00%
PRD-000226,Zenith Wireless Smart Lock,472.79,53,6.90%
PRD-000227,Orbit Elite Dash Cam,341.01,55,4.20%
PRD-000228,Krypton Lite Wi-Fi Router,863.7,413,5.10%
PRD-000229,Nova Precision Wi-Fi Router,49.25,139,8.40%
PRD-000230,Aero Smart Air Purifier,15.11,445,1.70%
PRD-000231,Blaze Max Power Bank,1113,497,0.40%
PRD-000232,Orbit Gaming Standing Desk,683.74,80,4.40%
PRD-000233,Summit Vivid VR Headset,896.75,452,0.60%
PRD-000234,Hyper Vivid Security Camera,80.34,41,3.30%
PRD-000235,Matrix Studio Smart Lock,666.4,139,2.60%
PRD-000236,Quantum HD Water Bottle,171.66,347,8.10%
PRD-000237,Optima Stealth Graphics Tablet,73.84,202,11.80%
PRD-000238,Zenith Pro Ergonomic Chair,456.31,108,9.20%
PRD-000239,Velocity Wireless Smart Plug,185.25,254,9.00%
PRD-000240,Starlight Elite Blender,801.67,117,6.00%
PRD-000241,Vanguard Max Robot Vacuum,1293.47,21,5.20%
PRD-000242,Synergy Max Smart Plug,866.17,293,4.90%
PRD-000243,Horizon Wireless Bluetooth Speaker,611.11,494,3.90%
PRD-000244,Synergy Intelligent Coffee Maker,137.66,432,1.30%
PRD-000245,Matrix Turbo Robot Vacuum,788.79,202,10.40%
PRD-000246,Cipher Compact Electric Toothbrush,1169.99,39,6.10%
PRD-000247,Quantum Stealth Smart Scale,295.68,397,4.20%
PRD-000248,Echo Compact External SSD,224.78,101,2.10%
PRD-000249,Echo Vivid 4K Monitor,270.65,395,7.50%
PRD-000250,Synergy Vivid VR Headset,1141.25,229,8.20%
PRD-000251,Summit Speed Smart Plug,231.52,34,5.60%
PRD-000252,Aero Seamless Wi-Fi Router,889.57,180,6.10%
PRD-000253,Aero Eco Backpack,62.18,188,10.00%
PRD-000254,Pulse Flex USB-C Hub,924.81,259,4.60%
PRD-000255,Vortex Eco VR Headset,979.84,164,7.30%
PRD-000256,Echo Ultra Backpack,160.62,460,10.00%
PRD-000257,Titan Stealth Noise Canceling Earbuds,64.47,362,5.30%
PRD-000258,Fusion Stealth Thermal Mug,917.04,186,4.50%
PRD-000259,Sol Gaming Standing Desk,1163.04,347,7.20%
PRD-000260,Cipher Max Electric Toothbrush,147.18,347,4.60%
PRD-000261,Velocity Core Smart Lock,1310.67,170,1.00%
PRD-000262,Echo HD Graphics Tablet,1451.73,357,7.90%
PRD-000263,Nexus Precision USB-C Hub,468.51,192,7.70%
PRD-000264,Cipher Intelligent HD Webcam,1007.14,424,11.40%
PRD-000265,Titan Flex Water Bottle,765.67,9,4.40%
PRD-000266,Starlight Advanced Electric Toothbrush,1421.81,248,2.30%
PRD-000267,Nexus Elite 4K Monitor,447.9,403,1.20%
PRD-000268,Vortex Modular Electric Toothbrush,1315.32,316,1.60%
PRD-000269,Astra Elite Laptop Stand,276.17,354,9.30%
PRD-000270,Hyper Core Backpack,71.27,186,8.10%
PRD-000271,Prism Eco Security Camera,431.67,383,9.40%
PRD-000272,Omni Active Action Camera,468.34,414,9.40%
PRD-000273,Core HD VR Headset,1476.74,236,9.20%
PRD-000274,Astra Stealth Thermal Mug,631.47,82,9.80%
PRD-000275,Nexus Speed Portable Charger,83.95,246,10.50%
PRD-000276,Aura Extreme Thermal Mug,1277.63,145,1.00%
PRD-000277,Hyper Portable Backpack,1358.52,75,10.00%
PRD-000278,Titan Compact Backpack,1327.63,476,0.30%
PRD-000279,Zenith Gaming Smart Scale,564.69,197,11.90%
PRD-000280,Krypton Compact Smartwatch,482.11,50,10.10%
PRD-000281,Cipher Seamless Power Bank,211.56,146,11.00%
PRD-000282,Vector Extreme HD Webcam,1139.7,240,5.40%
PRD-000283,Apex Ultimate USB-C Hub,34.38,110,10.00%
PRD-000284,Matrix Lite Microphone Kit,361.02,62,0.60%
PRD-000285,Horizon Flex Security Camera,688.92,56,10.00%
PRD-000286,Optima Precision Ring Light,30.54,263,6.90%
PRD-000287,Echo Wireless Water Bottle,8.33,180,2.90%
PRD-000288,Horizon Prime USB-C Hub,788.08,184,0.80%
PRD-000289,Nova Gaming Dash Cam,71.03,198,11.80%
PRD-000290,Velocity Core Smartwatch,539.49,34,4.10%
PRD-000291,Aura Vivid Soundbar,1104.36,170,1.60%
PRD-000292,Vanguard Active Electric Toothbrush,1221.37,89,10.00%
PRD-000293,Synergy Extreme Dash Cam,949.8,415,1.60%
PRD-000294,Synergy Ultra Microphone Kit,307.17,405,2.40%
PRD-000295,Vortex Smart Graphics Tablet,775.97,417,6.50%
PRD-000296,Velocity Ultra Fitness Tracker,433.44,441,9.40%
PRD-000297,Cipher Portable Bluetooth Speaker,1200.21,223,10.70%
PRD-000298,Fusion Ultimate Blender,512.51,95,6.00%
PRD-000299,Optima HD Thermal Mug,404.47,42,8.70%
PRD-000300,Titan Ergonomic Smart Lock,1492.67,92,6.50%
PRD-000301,Summit Lite USB-C Hub,495.9,151,3.70%
PRD-000302,Matrix Prime Backpack,531.2,21,8.70%
PRD-000303,Vanguard Precision Water Bottle,416.18,405,11.40%
PRD-000304,Pulse Modular Robot Vacuum,548.78,410,9.00%
PRD-000305,Hyper Pro Power Bank,1273.9,347,9.40%
PRD-000306,Vortex Elite 4K Monitor,358.57,330,4.40%
PRD-000307,Astra Turbo Gaming Mouse,910,347,5.40%
PRD-000308,Krypton HD Backpack,1146.04,293,1.70%
PRD-000309,Krypton Gaming Smart Plug,976.43,127,11.50%
PRD-000310,Nova Core Noise Canceling Earbuds,751.56,198,11.00%
PRD-000311,Quantum Portable Portable Charger,1057.82,109,12.00%
PRD-000312,Sol Extreme E-Reader,305.06,69,10.20%
PRD-000313,Fusion Prime Backpack,1495.9,414,8.20%
PRD-000314,Summit Modular Air Purifier,1066.04,281,6.50%
PRD-000315,Aero Speed Laptop Stand,1069.43,474,8.40%
PRD-000316,Starlight Seamless Coffee Maker,766.07,62,11.80%
PRD-000317,Nexus Compact E-Reader,45.26,283,6.90%
PRD-000318,Synergy Seamless Drone,199.87,452,1.00%
PRD-000319,Aero Gaming Dash Cam,791.38,393,4.90%
PRD-000320,Pulse Elite Smart Plug,965.64,230,5.60%
PRD-000321,Vanguard Elite Drone,961.84,93,9.20%
PRD-000322,Nexus Ergonomic Smart Scale,1366.59,28,10.00%
PRD-000323,Echo Wireless Laptop Stand,247.97,478,8.50%
PRD-000324,Vanguard Stealth Microphone Kit,1269.81,128,2.40%
PRD-000325,Lumina Elite Graphics Tablet,923.95,47,6.00%
PRD-000326,Hyper Turbo Soundbar,236.36,337,7.50%
PRD-000327,Cipher Intelligent VR Headset,67.53,442,0.30%
PRD-000328,Vortex Flex VR Headset,401.39,107,9.20%
PRD-000329,Horizon Precision Smartwatch,750.06,321,6.50%
PRD-000330,Aero Studio Action Camera,1208.19,350,4.90%
PRD-000331,Synergy Max Mechanical Keyboard,242.16,212,5.80%
PRD-000332,Orbit Smart Smart Lock,220.63,441,8.60%
PRD-000333,Vanguard Gaming HD Webcam,1142.42,263,6.70%
PRD-000334,Summit Compact Running Shoes,189.04,230,3.00%
PRD-000335,Aura Ultra Microphone Kit,1418.4,442,7.40%
PRD-000336,Prism Speed Laptop Stand,1221.33,478,6.90%
PRD-000337,Summit Advanced Laptop Stand,750.4,263,5.60%
PRD-000338,Aero Studio Smartwatch,140.52,201,6.10%
PRD-000339,Prism Advanced Soundbar,533.22,25,3.40%
PRD-000340,Vector Wireless Ring Light,18.21,55,5.20%
PRD-000341,Velocity Core Coffee Maker,1147.19,187,0.50%
PRD-000342,Zenith Turbo Drone,296.81,283,3.50%
PRD-000343,Astra Stealth Backpack,1148.01,143,9.90%
PRD-000344,Quantum Elite External SSD,594.48,406,11.80%
PRD-000345,Krypton Vivid Power Bank,303.38,260,4.80%
PRD-000346,Vortex Ultra Gaming Mouse,210.72,170,9.60%
PRD-000347,Synergy Elite Smart Lock,1340.33,71,3.90%
PRD-000348,Summit Prime Robot Vacuum,1485.97,378,10.10%
PRD-000349,Cipher Stealth Smart Scale,801.31,362,6.80%
PRD-000350,Vector Intelligent Smartwatch,556.32,344,1.30%
PRD-000351,Horizon Turbo Graphics Tablet,1196.34,371,10.50%
PRD-000352,Nova Precision Dash Cam,402.69,335,9.40%
PRD-000353,Omni Core Mechanical Keyboard,877.77,87,6.30%
PRD-000354,Astra Elite Action Camera,53.16,485,8.40%
PRD-000355,Core Pro Backpack,474.65,77,5.00%
PRD-000356,Orbit Ergonomic Smart Scale,1163.8,471,5.70%
PRD-000357,Zenith Extreme HD Webcam,780.9,287,3.90%
PRD-000358,Vector Stealth Blender,474.74,88,5.50%
PRD-000359,Cipher Active Air Purifier,1015.74,444,8.70%
PRD-000360,Velocity Precision Dash Cam,293.23,126,3.30%
PRD-000361,Aero Compact Graphics Tablet,1158.12,360,2.50%
PRD-000362,Optima Smart Dash Cam,527.1,478,11.20%
PRD-000363,Lumina Wireless Bluetooth Speaker,862.76,278,4.60%
PRD-000364,Blaze Intelligent Air Purifier,1432.18,411,1.80%
PRD-000365,Vortex Wireless USB-C Hub,523.46,226,7.90%
PRD-000366,Vector Advanced Fitness Tracker,1242.95,138,11.20%
PRD-000367,Lumina Elite External SSD,925.81,300,2.90%
PRD-000368,Zenith Modular Thermal Mug,343.14,119,0.60%
PRD-000369,Horizon Smart Dash Cam,156.2,394,1.60%
PRD-000370,Hyper Ergonomic Dash Cam,719.3,102,9.10%
PRD-000371,Sol Smart Microphone Kit,970.96,464,9.20%
PRD-000372,Omni Active Gaming Mouse,1370.36,89,5.00%
PRD-000373,Starlight Ultra Robot Vacuum,1183.2,95,11.20%
PRD-000374,Sol Ultimate Gaming Mouse,19.84,290,7.20%
PRD-000375,Cipher Wireless Running Shoes,1483.7,278,6.30%
PRD-000376,Nexus Speed Smart Scale,705.21,98,9.70%
PRD-000377,Cipher Prime Running Shoes,974.53,367,2.20%
PRD-000378,Cipher Seamless Microphone Kit,854.26,387,2.30%
PRD-000379,Blaze Intelligent Water Bottle,775.82,44,4.80%
PRD-000380,Aura Prime HD Webcam,719.31,479,3.00%
PRD-000381,Velocity Gaming Action Camera,673.41,136,11.40%
PRD-000382,Aero Turbo VR Headset,23.07,334,4.30%
PRD-000383,Prism Ultra Bluetooth Speaker,701.29,81,4.90%
PRD-000384,Aero Extreme Bluetooth Speaker,960.22,481,3.50%
PRD-000385,Omni Compact HD Webcam,720.39,232,9.00%
PRD-000386,Krypton Ergonomic Drone,1369.71,387,6.50%
PRD-000387,Orbit Vivid Action Camera,1022.42,305,10.50%
PRD-000388,Titan Stealth Backpack,795.08,185,0.90%
PRD-000389,Quantum Ultra Drone,1354.9,103,6.90%
PRD-000390,Echo Prime Smart Plug,1282.59,226,1.40%
PRD-000391,Orbit Extreme Soundbar,736.3,460,6.10%
PRD-000392,Zenith Eco HD Webcam,772.78,233,6.80%
PRD-000393,Synergy Modular Graphics Tablet,1086.57,202,3.10%
PRD-000394,Apex Core Ergonomic Chair,869.99,23,5.10%
PRD-000395,Pulse Active Mechanical Keyboard,1402.26,35,11.80%
PRD-000396,Vector Ultra Microphone Kit,616.84,393,1.60%
PRD-000397,Horizon HD Blender,676.1,469,10.90%
PRD-000398,Astra Max Ring Light,204.68,440,4.20%
PRD-000399,Starlight Active Robot Vacuum,796.08,372,11.70%
PRD-000400,Apex Vivid Smartwatch,1467.86,237,8.10%
PRD-000401,Matrix Active Blender,1236.09,126,5.50%
PRD-000402,Echo Portable Fitness Tracker,1406.48,371,9.20%
PRD-000403,Vortex Seamless Standing Desk,924.69,479,10.60%
PRD-000404,Nova Compact Ergonomic Chair,106.52,304,0.40%
PRD-000405,Zenith Compact Gaming Mouse,606.97,119,6.50%
PRD-000406,Zenith Elite Smart Scale,1490.25,119,9.80%
PRD-000407,Summit Turbo Smart Lock,1160.16,419,3.80%
PRD-000408,Aero Ultimate Power Bank,1478.62,266,2.70%
PRD-000409,Aero Portable Mechanical Keyboard,837.73,302,10.60%
PRD-000410,Starlight Flex Water Bottle,836.43,24,11.70%
PRD-000411,Astra Seamless Thermal Mug,482.18,213,4.90%
PRD-000412,Aero Gaming Noise Canceling Earbuds,1133.09,242,2.90%
PRD-000413,Omni Wireless Power Bank,1209.82,468,0.70%
PRD-000414,Horizon Ergonomic Drone,797.8,198,2.90%
PRD-000415,Orbit Smart USB-C Hub,1383.8,433,4.50%
PRD-000416,Core Ultra Wi-Fi Router,569.48,309,7.20%
PRD-000417,Pulse Advanced Soundbar,1088.1,286,2.60%
PRD-000418,Orbit Speed Electric Toothbrush,458.95,465,0.20%
PRD-000419,Core Core Bluetooth Speaker,1121.83,386,5.70%
PRD-000420,Prism Extreme Smart Lock,1057.42,203,11.00%
PRD-000421,Summit Vivid Microphone Kit,574.7,273,7.80%
PRD-000422,Aero Portable Coffee Maker,772.14,254,5.60%
PRD-000423,Vector Vivid Smart Plug,1372,189,3.80%
PRD-000424,Vortex Turbo Desk Lamp,1113.42,8,3.10%
PRD-000425,Horizon Wireless Power Bank,299.1,117,4.60%
PRD-000426,Prism Studio Drone,983.97,350,4.10%
PRD-000427,Optima Core E-Reader,694.47,375,9.50%
PRD-000428,Hyper Elite Ring Light,735.53,469,10.70%
